Region,GOVERNORATE,CODE GOUV,DELEGATION,CODE DELEG,SECTOR,CODE SECTOR,Block,CODE BLOCK,Area,pop_block,Lodging,Cumulative population
Grand Tunis,Tunis,11,Bab Souika,1154,BAB SÂADOUN,115453,Bab Sâadoun 4,1154534,Urban,417,126,90812.6666666668
Grand Tunis,Tunis,11,Bab Souika,1154,BORJ ZOUARA,115454,Borj Zouara 4,1154544,Urban,389.571428571429,125.428571428571,92787.9523809526
Grand Tunis,Tunis,11,Bab Souika,1154,BORJ ZOUARA,115454,Borj Zouara 6,1154546,Urban,389.571428571429,125.428571428571,93567.0952380954
Grand Tunis,Tunis,11,Bab Souika,1154,BAB EL ASSEL,115455,Bab El Assel 6,1154556,Urban,394.625,134.125,96324.4166666669
Grand Tunis,Tunis,11,Bab Souika,1154,EL HALFAOUINE,115456,El Halfaouine,1154562,Urban,395.5,131.5,97904.6666666669
Grand Tunis,Tunis,11,Bab Souika,1154,EL HALFAOUINE,115456,El Halfaouine,1154563,Urban,395.5,131.5,98300.1666666669
Grand Tunis,Tunis,11,Bab Souika,1154,EL HALFAOUINE,115456,El Halfaouine,1154568,Urban,395.5,131.5,100277.666666667
Grand Tunis,Tunis,11,Bab Souika,1154,BAB SOUIKA,115457,Bab Souika 2,1154572,Urban,389.166666666667,128.333333333333,101056
Grand Tunis,Tunis,11,Bab Souika,1154,BAB SOUIKA,115457,Bab Souika 4,1154574,Urban,389.166666666667,128.333333333333,101834.333333334
Grand Tunis,Tunis,11,Bab Souika,1154,BAB SOUIKA,115457,Bab Souika 5,1154575,Urban,389.166666666667,128.333333333333,102223.5
Grand Tunis,Tunis,11,Bab Souika,1154,BAB SIDI ABDESSALEM,115458,Bab Sidi Abdessalem 1,1154581,Urban,401.4,125.6,103014.066666667
Grand Tunis,Tunis,11,Bab Souika,1154,BAB SIDI ABDESSALEM,115458,Bab Sidi Abdessalem 2,1154582,Urban,401.4,125.6,103415.466666667
Grand Tunis,Tunis,11,Bab Souika,1154,BAB SIDI ABDESSALEM,115458,Bab Sidi Abdessalem 3,1154583,Urban,401.4,125.6,103816.866666667
Grand Tunis,Tunis,11,Bab Souika,1154,BAB SIDI ABDESSALEM,115458,Bab Sidi Abdessalem 4,1154584,Urban,401.4,125.6,104218.266666667
Grand Tunis,Tunis,11,Bab Souika,1154,ZAOUIET EL BEKRIA,115459,Zaouiet El Bekria 1,1154591,Urban,382.6,112.2,105002.266666667
Grand Tunis,Tunis,11,Bab Souika,1154,HAMMAM EL RMIMI,115460,Hammam El Rmimi 2,1154602,Urban,398,143.166666666667,107328.666666667
Grand Tunis,Tunis,11,Bab Souika,1154,HAMMAM EL RMIMI,115460,Hammam El Rmimi 5,1154605,Urban,398,143.166666666667,108522.666666667
Grand Tunis,Tunis,11,Bab Souika,1154,HAMMAM EL RMIMI,115460,Hammam El Rmimi 6,1154606,Urban,398,143.166666666667,108920.666666667
Grand Tunis,Tunis,11,Bab Souika,1154,SIDI DJEBALI,115461,Sidi Djebali 1,1154611,Urban,418,142.6,109338.666666667
Grand Tunis,Tunis,11,El Omrane,1155,EL OMRANE,115551,El Omrane 2,1155512,Urban,406.857142857143,132.214285714286,111824.380952381
Grand Tunis,Tunis,11,El Omrane,1155,EL OMRANE,115551,El Omrane 3,1155513,Urban,406.857142857143,132.214285714286,112231.238095238
Grand Tunis,Tunis,11,El Omrane,1155,EL OMRANE,115551,El Omrane 6,1155516,Urban,406.857142857143,132.214285714286,113451.80952381
Grand Tunis,Tunis,11,El Omrane,1155,EL OMRANE,115551,El Omrane 7,1155517,Urban,406.857142857143,132.214285714286,113858.666666667
Grand Tunis,Tunis,11,El Omrane,1155,EL OMRANE,115551,El Omrane 8,1155518,Urban,406.857142857143,132.214285714286,114265.523809524
Grand Tunis,Tunis,11,El Omrane,1155,EL OMRANE,115551,El Omrane 13,11555113,Urban,406.857142857143,132.214285714286,116299.80952381
Grand Tunis,Tunis,11,El Omrane,1155,EL OMRANE,115551,El Omrane 14,11555114,Urban,406.857142857143,132.214285714286,116706.666666667
Grand Tunis,Tunis,11,El Omrane,1155,DJEBEL EL AHMAR,115552,Djebel El Ahmar 3,1155523,Urban,418.888888888889,128.555555555556,117963.333333334
Grand Tunis,Tunis,11,El Omrane,1155,DJEBEL EL AHMAR,115552,Djebel El Ahmar 4,1155524,Urban,418.888888888889,128.555555555556,118382.222222222
Grand Tunis,Tunis,11,El Omrane,1155,DJEBEL EL AHMAR,115552,Djebel El Ahmar 5,1155525,Urban,418.888888888889,128.555555555556,118801.111111111
Grand Tunis,Tunis,11,El Omrane,1155,DJEBEL EL AHMAR,115552,Djebel El Ahmar 6,1155526,Urban,418.888888888889,128.555555555556,119220
Grand Tunis,Tunis,11,El Omrane,1155,DJEBEL EL AHMAR,115552,Djebel El Ahmar 7,1155527,Urban,418.888888888889,128.555555555556,119638.888888889
Grand Tunis,Tunis,11,El Omrane,1155,CITÉ DES OLIVIERS,115553,Cité des Oliviers 20,11555320,Urban,405.75,119.392857142857,128591.666666667
Grand Tunis,Tunis,11,El Omrane,1155,CITÉ DES OLIVIERS,115553,Cité des Oliviers 24,11555324,Urban,405.75,119.392857142857,130214.666666667
Grand Tunis,Tunis,11,El Omrane,1155,RAS TABIA,115554,Ras Tabia 3,1155543,Urban,394.041666666667,135.208333333333,133019.791666667
Grand Tunis,Tunis,11,El Omrane,1155,RAS TABIA,115554,Ras Tabia 6,1155546,Urban,394.041666666667,135.208333333333,134201.916666667
Grand Tunis,Tunis,11,El Omrane,1155,RAS TABIA,115554,Ras Tabia 7,1155547,Urban,394.041666666667,135.208333333333,134595.958333334
Grand Tunis,Tunis,11,El Omrane,1155,RAS TABIA,115554,Ras Tabia 12,11555412,Urban,394.041666666667,135.208333333333,136566.166666667
Grand Tunis,Tunis,11,El Omrane,1155,RAS TABIA,115554,Ras Tabia 18,11555418,Urban,394.041666666667,135.208333333333,138930.416666667
Grand Tunis,Tunis,11,El Omrane,1155,RAS TABIA,115554,Ras Tabia 23,11555423,Urban,394.041666666667,135.208333333333,140900.625
Grand Tunis,Tunis,11,El Omrane,1155,RAS TABIA,115554,Ras Tabia 24,11555424,Urban,394.041666666667,135.208333333333,141294.666666667
Grand Tunis,Tunis,11,El Omrane,1155,BIR ATIG,115555,Bir Atig 3,1155553,Urban,392.15,109.45,142471.116666667
Grand Tunis,Tunis,11,El Omrane,1155,BIR ATIG,115555,Bir Atig 7,1155557,Urban,392.15,109.45,144039.716666667
Grand Tunis,Tunis,11,El Omrane,1155,BIR ATIG,115555,Bir Atig 9,1155559,Urban,392.15,109.45,144824.016666667
Grand Tunis,Tunis,11,El Omrane,1155,BIR ATIG,115555,Bir Atig 11,11555511,Urban,392.15,109.45,145608.316666667
Grand Tunis,Tunis,11,El Omrane,1155,BIR ATIG,115555,Bir Atig 14,11555514,Urban,392.15,109.45,146784.766666667
Grand Tunis,Tunis,11,El Omrane,1155,BIR ATIG,115555,Bir Atig 15,11555515,Urban,392.15,109.45,147176.916666667
